ma_san_pham,ten_san_pham,gia_ban,gia_goc,hinh_anh
422200236,Kem Chống Nắng MartiDerm Phổ Rộng Bảo Vệ Toàn Diện 40ml,559000,1350000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-chong-nang-martiderm-pho-rong-toan-dien-spf50-40ml-1717484548_img_380x380_64adc6_fit_center.jpg
422212331,Combo 2 Bông Tẩy Trang Hotosu Cao Cấp 150 Miếng,51000,70000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-combo-2-bong-tay-trang-hotosu-cao-cap-150-mieng-1718617640_img_380x380_64adc6_fit_center.jpg
204900056,"Gel Rửa Mặt La Roche-Posay Dành Cho Da Dầu, Nhạy Cảm 400ml",422000,625000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-gel-rua-mat-la-roche-posay-cho-da-dau-nhay-cam-400ml_Hibj9ByjfXnCo5AK_img_380x380_64adc6_fit_center.png
422222531,Combo Cocoon Nước Cân Bằng Sen Hậu Giang 310ml & Nước Tẩy Trang Bí Đao 500ml,265000,590000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-combo-cocoon-nuoc-can-bang-sen-hau-giang-310ml-nuoc-tay-trang-bi-dao-500ml_TDx95kYBHB79Qoxh_img_380x380_64adc6_fit_center.png
422226334,Serum L,318000,469000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-serum-l-oreal-sang-da-mo-tham-mun-nam-30ml_SAUoiXMUUucGZmbf_img_380x380_64adc6_fit_center.png
422204795,"Gel Rửa Mặt Cosrx Tràm Trà, 0.5% BHA Có Độ pH Thấp 150ml",117000,339000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-gel-rua-mat-cosrx-tram-tra-0-5-bha-co-do-ph-thap-150ml-1726824856_img_380x380_64adc6_fit_center.jpg
253900003,Serum Skin1004 Rau Má Làm Dịu & Hỗ Trợ Phục Hồi Da 100ml,305000,610000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-253900003-1695975260_img_380x380_64adc6_fit_center.jpg
422208975,Sữa Rửa Mặt CeraVe Cho Da Thường Đến Khô 473ml,311000,440000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-rua-mat-cerave-cho-da-thuong-den-kho-473ml_jM9fcH9YhbGx5ZdT_img_380x380_64adc6_fit_center.png
422200632,Gel Rửa Mặt SVR Không Chứa Xà Phòng Cho Da Dầu 400ml,378000,555000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-gel-rua-mat-svr-khong-chua-xa-phong-cho-da-dau-400ml-1711167610_img_380x380_64adc6_fit_center.jpg
422208913,"Serum Garnier Giảm Mụn Mờ Thâm Cho Da Dầu, Mụn 30ml",239000,349000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-tinh-chat-garnier-giam-mun-mo-tham-cho-da-dau-mun-30ml_MkqMqZYZUkoH1nmJ_img_380x380_64adc6_fit_center.png
206400019,Kem Dưỡng Olay Luminous Sáng Da Mờ Thâm Nám Ban Đêm 50g,188000,270000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-206400019-1696052291_img_380x380_64adc6_fit_center.png
422211241,Kem Dưỡng La Roche-Posay Giúp Phục Hồi Da Đa Công Dụng 100ml,449000,665000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-kem-duong-la-roche-posay-giup-phuc-hoi-da-da-cong-dung-100ml_RYqYBzBaSw6dpkPq_img_380x380_64adc6_fit_center.png
422212333,Combo 5 Bông Tẩy Trang Hotosu Cao Cấp 150 Miếng,127000,175000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-combo-5-bong-tay-trang-hotosu-cao-cap-150-mieng-1718617669_img_380x380_64adc6_fit_center.jpg
422210980,Combo 3 Gel Rửa Mặt La Roche-Posay Cho Da Dầu Nhạy Cảm 50ml,139000,630000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-combo-3-gel-rua-mat-la-roche-posay-cho-da-dau-nhay-cam-50ml-1729259297_img_380x380_64adc6_fit_center.jpg
100210023,Serum Timeless Vitamin B5 Làm Dịu & Phục Hồi Da 30ml,350000,670000,https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-serum-timeless-vitamin-b5-lam-diu-phuc-hoi-da-30ml-1710495625_img_380x380_64adc6_fit_center.jpg
204900089,Serum La Roche-Posay Giúp Tái Tạo & Phục Hồi Da 30ml,830000,1260000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-tinh-chat-la-roche-posay-ho-tro-phuc-hoi-da-30ml_agv8KkDudUhBKeMC_img_380x380_64adc6_fit_center.png
205100136,Nước Tẩy Trang L,148000,229000,https://media.hcdn.vn/catalog/product/p/r/promotions-auto-nuoc-tay-trang-l-oreal-paris-3-in-1-duong-am-danh-cho-da-thuong-da-kho-400ml_WTyuUZX3u4cFrLAd_img_380x380_64adc6_fit_center.png
